type,adname,location,name,address
风景名胜;风景名胜;风景名胜,武侯区,"104.047506,30.645571",腊梅林,\u6b66\u4faf\u7960\u5927\u8857231\u53f7\u6b66\u4faf\u7960\u666f\u533a\u5185
风景名胜;风景名胜;风景名胜,武侯区,"104.048520,30.557929",铁像寺水街-牌坊,\u76db\u5b89\u8857\u4e0e\u94c1\u50cf\u5bfa\u8def\u4ea4\u53c9\u53e3\u4e1c50\u7c73
风景名胜;风景名胜;纪念馆,武侯区,"104.093162,30.630756",望江楼公园-薛涛纪念馆,\u671b\u6c5f\u8def30\u53f7\u671b\u6c5f\u697c\u516c\u56ed
风景名胜;风景名胜;风景名胜,崇州市,"103.591010,30.667773",白塔寺-碧落书舍,\u9053\u660e\u9547\u767d\u5854\u5bfa
餐饮服务;茶艺馆;茶艺馆,武侯区,"104.001110,30.644603",观福萱,\u664b\u5409\u4e1c\u4e8c\u8857236\u53f7\u964437\u53f7
风景名胜;风景名胜相关;旅游景点,青羊区,"104.027718,30.660655",杜甫草堂-茅屋故居,\u8349\u5802\u8def28\u53f7\u6210\u90fd\u675c\u752b\u8349\u5802\u535a\u7269\u9986\u5185
风景名胜;风景名胜;风景名胜,武侯区,"104.047510,30.645900",静远堂,\u6b66\u4faf\u7960\u5927\u8857231\u53f7\u6210\u90fd\u6b66\u4faf\u7960\u535a\u7269\u9986\u5185
风景名胜;风景名胜;风景名胜,温江区,"103.819997,30.771994",寝园,\u6676\u4e03\u8def\u4e1c200\u7c73
风景名胜;风景名胜;风景名胜,双流区,"103.978048,30.304254",阿弥陀佛,\u7fa4\u5c0f\u8def
风景名胜;风景名胜;风景名胜,金牛区,"104.036246,30.676024",废墟,\u629a\u7434\u897f\u5357\u8def\u4e0e\u629a\u7434\u897f\u8def\u5357\u4e8c\u5df7\u4ea4\u53c9\u53e3\u897f\u5357150\u7c73
风景名胜;风景名胜;纪念馆,双流区,"104.024439,30.358711",双流烈士纪念馆,213\u56fd\u9053
风景名胜;风景名胜;寺庙道观,崇州市,"103.558032,30.811198",街子古镇-黄老殿,\u5ddd\u897f\u65c5\u6e38\u73af\u7ebf\u4e0e\u671d\u9633\u8def\u4ea4\u53c9\u53e3\u531750\u7c73
风景名胜;风景名胜;观景点,新都区,"104.053726,30.947110",乌木泉,\u6ee8\u6cb3\u8def\u5357150\u7c73
风景名胜;风景名胜;风景名胜,郫都区,"103.980164,30.783177",焦公亭,\u77f3\u4ead\u6751\u4e94\u7ec4
风景名胜;风景名胜;风景名胜,青羊区,"104.059424,30.655930",人民公园-望舟亭,\u6587\u7fc1\u8def\u4e0e\u897f\u5fa1\u8857\u4ea4\u53c9\u53e3\u897f150\u7c73
风景名胜;风景名胜;风景名胜,青羊区,"104.036583,30.657776",真言乘,\u8349\u5802\u4e1c\u8def66\u53f72\u53f7\u697c\u4e00\u697cA66116
风景名胜;风景名胜;风景名胜,温江区,"103.835603,30.696512",古城墙,\u6e29\u6cc9\u8def66\u53f7
