type,adname,location,name,address
风景名胜;风景名胜;风景名胜,蒲江县,"103.511780,30.161793",樱桃山旅游景区-沐心亭,望明路与花样年花径交叉口西150米
风景名胜;风景名胜;风景名胜,青羊区,"104.075269,30.665115",明会府遗址,忠烈祠西街43号附6号
风景名胜;风景名胜;风景名胜,青羊区,"104.071058,30.663571",王右木故居,古中市街7号
风景名胜;风景名胜;国家级景点,武侯区,"104.048273,30.645826",惠陵,武侯祠大街231号武侯祠景区内
风景名胜;风景名胜;风景名胜,大邑县,"103.620119,30.498653",抗战文物陈列·正面战场馆,古镇迎宾路80号(近金桂公馆酒店)建川博物馆聚落内
风景名胜;风景名胜;风景名胜,邛崃市,"103.223950,30.249120",古蜀皇茶茶文化生态体验园,邛崃夹关镇韩坪村
风景名胜;风景名胜;寺庙道观,大邑县,"103.369454,30.554343",川王宫,安出路北50米
风景名胜;风景名胜;风景名胜,青羊区,"104.073124,30.675201",文殊院-祖堂,文殊院街66号文殊院内
生活服务;生活服务场所;生活服务场所,青羊区,"103.984910,30.672774",莲花公墓忠孝人文纪念公园,苏坡中路104号附近
风景名胜;风景名胜;风景名胜,都江堰市,"103.612828,30.997738",都江堰景区-碑亭,离堆公园路都江堰景区内
风景名胜;风景名胜相关;旅游景点,彭州市,"104.020272,31.121037",正觉寺塔,白塔坝
风景名胜;风景名胜;纪念馆,都江堰市,"103.620391,31.002295",都江堰市英烈纪念馆,建设路379号
风景名胜;风景名胜;寺庙道观,彭州市,"103.932056,30.979925",慈济堂,繁江北路与繁江南路交叉口北50米
生活服务;丧葬设施;陵园,双流区,"104.024529,30.358650",双流烈士陵园,煎茶镇沿溪村3组
风景名胜;风景名胜;纪念馆,崇州市,"103.678456,30.628379",宫保府,崇阳街道大东街306号
风景名胜;风景名胜;风景名胜,青羊区,"104.053617,30.663833",宽窄巷子文物挖掘遗址,宽巷子31号
风景名胜;风景名胜;风景名胜,青羊区,"104.028205,30.661264",唐亭台遗址,草堂路28号成都杜甫草堂博物馆内
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.310300,30.567713",真武山陵憩园,山泉镇桃花故里景区附近
生活服务;丧葬设施;陵园,大邑县,"103.524404,30.594135",烈士陵园(滨河路中段),晋原镇滨河路中段人民法院北
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.333070,30.637264",洛带古镇-四方塔,洛带镇八角井上街岗亭对面停车场
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.326591,30.531807",北周文王碑,318国道
科教文化服务;展览馆;展览馆,青羊区,"103.929480,30.670068",中国书法馆,非遗大道国际非物质文化遗产博览中心附近
风景名胜;风景名胜;风景名胜,武侯区,"104.049114,30.647326",唐代银杏,武侯祠大街231号武侯祠景区内
风景名胜;风景名胜;风景名胜,武侯区,"104.047645,30.647593",武侯祠美术馆荐馨殿,武侯祠大街231号武侯祠景区内
科教文化服务;展览馆;展览馆,青羊区,"104.028810,30.659099",情系草堂文献图片资料展,草堂路28号成都杜甫草堂博物馆内
风景名胜;风景名胜;寺庙道观,崇州市,"103.462502,30.798402",西竺道院,茶园村乡道
科教文化服务;科教文化场所;科教文化场所,锦江区,"104.083723,30.659979",四川省作家协会巴金文学院,红星路二段85号四川省作家协会
风景名胜;风景名胜;风景名胜,简阳市,"104.437886,30.249897",三清庙村,简仁路
风景名胜;风景名胜相关;旅游景点,崇州市,"103.674040,30.626850",罨画池-大成殿,上南街与学府街交叉口东北200米
风景名胜;风景名胜;国家级景点,都江堰市,"103.622262,31.001039",柳河坊,建设路与杨柳河街交叉口西南50米
风景名胜;风景名胜;风景名胜,锦江区,"104.101606,30.643806",聚星学堂旧址,大田坎街143号
风景名胜;风景名胜;风景名胜,青羊区,"104.028267,30.661310",杜甫草堂-唐代遗址,草堂路28号成都杜甫草堂博物馆内
风景名胜;风景名胜;纪念馆,郫都区,"103.888679,30.786573",成都工业学院陈毅纪念园,郫都区
风景名胜;风景名胜;风景名胜,新津县,"103.900900,30.487600",成都瞿上城遗址,南十八里
风景名胜;风景名胜相关;旅游景点,新都区,"104.160717,30.831185",宝光寺-天台胜境,宝光街与西朱路交叉口西北200米
地名地址信息;普通地名;村庄级地名,蒲江县,"103.331709,30.275626",明月窑,蒲江县
生活服务;生活服务场所;生活服务场所,金牛区,"104.034689,30.719115",华侨城·品牌展示中心,金鑫大道8号附近
风景名胜;风景名胜;风景名胜,温江区,"103.834594,30.751153",鱼凫村遗址,郫温路东150米
风景名胜;风景名胜;风景名胜,金堂县,"104.837363,30.519136",南华宫,南华街27附近
风景名胜;风景名胜;风景名胜,邛崃市,"103.311164,30.360489",芦沟竹海-邛人遗址,平乐镇芦沟竹海内
风景名胜;风景名胜;风景名胜,邛崃市,"103.299689,30.331191",金华山,平乐镇
风景名胜;风景名胜;风景名胜,金堂县,"104.540407,30.663727",何氏故居,顺江街162号附近
购物服务;专卖店;珠宝首饰工艺品,都江堰市,"103.614646,30.997911",般若菩提,西街65-67
风景名胜;风景名胜;风景名胜,邛崃市,"103.333978,30.344477",平乐古镇-太岁宫,古镇古戏台
风景名胜;风景名胜;风景名胜,大邑县,"103.429020,30.529717",新场古镇-百年历史影像馆,新场镇川西坝子记忆馆百年历史影像馆
风景名胜;风景名胜;纪念馆,大邑县,"103.618280,30.508787",安仁古镇-刘元瑄公馆,树人街44号
风景名胜;风景名胜;国家级景点,新津县,"103.802659,30.368714",梨花溪风景区-清泉花海,梨马路附近
风景名胜;风景名胜;风景名胜,武侯区,"104.047506,30.645571",腊梅林,武侯祠大街231号武侯祠景区内
风景名胜;风景名胜;风景名胜,武侯区,"104.048520,30.557929",铁像寺水街-牌坊,盛安街与铁像寺路交叉口东50米
风景名胜;风景名胜;纪念馆,武侯区,"104.093162,30.630756",望江楼公园-薛涛纪念馆,望江路30号望江楼公园
风景名胜;风景名胜;风景名胜,崇州市,"103.591010,30.667773",白塔寺-碧落书舍,道明镇白塔寺
餐饮服务;茶艺馆;茶艺馆,武侯区,"104.001110,30.644603",观福萱,晋吉东二街236号附37号
风景名胜;风景名胜相关;旅游景点,青羊区,"104.027718,30.660655",杜甫草堂-茅屋故居,草堂路28号成都杜甫草堂博物馆内
风景名胜;风景名胜;风景名胜,武侯区,"104.047510,30.645900",静远堂,武侯祠大街231号成都武侯祠博物馆内
风景名胜;风景名胜;风景名胜,温江区,"103.819997,30.771994",寝园,晶七路东200米
风景名胜;风景名胜;风景名胜,双流区,"103.978048,30.304254",阿弥陀佛,群小路
风景名胜;风景名胜;风景名胜,金牛区,"104.036246,30.676024",废墟,抚琴西南路与抚琴西路南二巷交叉口西南150米
风景名胜;风景名胜;纪念馆,双流区,"104.024439,30.358711",双流烈士纪念馆,213国道
风景名胜;风景名胜;寺庙道观,崇州市,"103.558032,30.811198",街子古镇-黄老殿,川西旅游环线与朝阳路交叉口北50米
风景名胜;风景名胜;观景点,新都区,"104.053726,30.947110",乌木泉,滨河路南150米
风景名胜;风景名胜;风景名胜,郫都区,"103.980164,30.783177",焦公亭,石亭村五组
风景名胜;风景名胜;风景名胜,青羊区,"104.059424,30.655930",人民公园-望舟亭,文翁路与西御街交叉口西150米
风景名胜;风景名胜;风景名胜,青羊区,"104.036583,30.657776",真言乘,草堂东路66号2号楼一楼A66116
风景名胜;风景名胜;风景名胜,温江区,"103.835603,30.696512",古城墙,温泉路66号
风景名胜;风景名胜;寺庙道观,郫都区,"103.822968,30.926994",万世师表,翰林巷与西北路交叉口东南150米
风景名胜;风景名胜;风景名胜,青羊区,"104.056204,30.657190",人民公园-银杏阁,包家巷与小南街交叉口东150米
风景名胜;风景名胜;风景名胜,青羊区,"104.042785,30.662173",文化公园-唐王殿,一环路西二段9号青羊宫内
风景名胜;风景名胜相关;旅游景点,郫都区,"103.824155,30.925323",杨靖中故居,小北街与西街交叉口东南100米
风景名胜;风景名胜相关;旅游景点,青羊区,"104.042629,30.662007",文化公园-玉皇殿,一环路西二段9号青羊宫内
风景名胜;风景名胜;风景名胜,青羊区,"104.059485,30.656496",人民公园-四川美术协会故址,东城根南街与祠堂街交叉口西150米
风景名胜;风景名胜相关;旅游景点,彭州市,"103.859328,31.322297",祖师殿,青城山景区内
风景名胜;风景名胜;风景名胜,彭州市,"103.767442,31.028573",古盘龙会纪念碑,丰乐南街与官亭街交叉口东北50米
风景名胜;风景名胜;风景名胜,新津县,"103.770100,30.356891",慵也谷,永商镇宝桥村
科教文化服务;科教文化场所;科教文化场所,都江堰市,"103.663845,30.972645",长征书院,友爱路与永丰路交叉口东100米
风景名胜;风景名胜;纪念馆,大邑县,"103.615791,30.509942",安仁古镇-张旭初公馆,迎宾路二段33号附近
风景名胜;风景名胜;寺庙道观,邛崃市,"103.415614,30.438475",竹园精舍,天生桥附近
风景名胜;风景名胜;纪念馆,邛崃市,"103.191933,30.447312",5·12地震异地安置纪念碑,木梯口附近
风景名胜;风景名胜;寺庙道观,金堂县,"104.481391,30.746698",圆觉古刹,云石路
风景名胜;风景名胜;风景名胜,成华区,"104.105058,30.656861",新华公园-悉灵深湖,双林北支路420号
风景名胜;风景名胜;风景名胜,彭州市,"103.902120,31.004090",金山观,彭白路西50米
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.221085,30.677343",双灵观,双龙路西50米
风景名胜;风景名胜;纪念馆,彭州市,"103.837110,30.950070",严君平故里,君平街西段与彭温路交叉口北100米
风景名胜;风景名胜;纪念馆,简阳市,"104.531401,30.388289",周克芹故里,120乡道南50米
